"Reference","Value","DIST","DIST P/N","MFG","MFG P/N","Item","QUANTITY"
"C1,C2,C7-C16,C19-C21,C28,C30,C32,C34-C37,C39,C45,R1-R5,R10,R12,R15,R17-R21,R23,R25-R28,R40-R42","0.1uF-25V-10%-0603,1.00M-1%-0603,1.00k-1%-0603,100R-1%-0603,1nF-50V-5%-0603,2.00k-1%-0603,27R0-1%-0603","","","","","1","45"
"C3-C6","4.7uF-16V-10%-0603","Digikey","CL10A475KO8NNNC","Samsung Electro-Mechanics","CL10A475KO8NNNC","2","4"
"C17,C38","22uF-25V-10%-1210","Digikey","1276-3369-1-ND","Samsung Electro-Mechanics","CL32A226KAJNNWE","3","2"
"C18,C26,C27","10uF-10%-10V-0805","Digikey","399-C0805C106K8PAC7800CT-ND","Kemet","C0805C106K8PAC7800","4","3"
"C23,C24","22uF-20%-0603","Digikey","445-9077-1-ND","TDK","C1608X5R1A226M080AC","5","2"
"C25","0.1uF-25V-10%-0603","Digikey","478-KGM15BR71E104KMCT-ND","Kyocera AVX","KGM15BR71E104KM","6","1"
"D1","15V","Digikey","F11544CT-ND","Littelfuse","SZ1SMB15CAT3G","7","1"
"D2","PESD1CAN","Digikey","1727-3817-1-ND","Nexperia","PESD1CAN,215","8","1"
"D3,D4","PMEG3020EP,115","Digikey","1727-5836-1-ND","Nexperia","PMEG3020EP,115","9","2"
"D6,D7,D9","BAV199","Digikey","BAV199LT1GOSCT-ND","onsemi","BAV199LT1G","10","3"
"J2,J3","CAN1","Digikey","WM1340-ND","Molex","0015912025","11","2"
"J4","12V","Digikey","WM1342-ND","Molex","0015912045","12","1"
"J5","POT","Digikey","WM1341-ND","Molex","0015912035","13","1"
"J6","ENCODER","Digikey","WM1343-ND","Molex","0015912055","14","1"
"L1","3.3uH-20%-0806","Digikey","587-6083-1-ND","Taiyo Yuden","MAKK2016T3R3M","15","1"
"L2","2.2uH-20%-46mR","Digikey","541-1322-1-ND","Vishay","IHLP1212BZER2R2M11","16","1"
"L3","8.2uH-20%-55mR","Digikey","541-IHLP2525CZER8R2M1ACT-ND","Vishay","IHLP2525CZER8R2M1A","17","1"
"R7","63.4k-1%-0603","Digikey","311-63.4KHRCT-ND","Yageo","RC0603FR-0763K4L","18","1"
"R8,R13","20.0k-1%-0603","Digikey","311-20.0KHRCT-ND","Yageo","RC0603FR-0720KL","19","2"
"R16,R22","10.0k-1%-0603","Digikey","YAG1290CT-ND","Yageo","RC0603FR-0710KP","20","2"
"U1","RP2350_60QFN","Digikey","2648-SC1509CT-ND","Raspberry Pi","SC1509","21","1"
"U2","W25Q128JVP","Digikey","W25Q128JVPIQ-ND","Winbond Electronics","W25Q128JVPIQ","22","1"
"U3","12MHz","Digikey","XC3101CT-ND","ECS Inc","ECS-5032MV-120-CN-TR","23","1"
"U4","MCP2518FDT-H/SL","Digikey","MCP2518FDT-H/SLCT-ND","Microchip","MCP2518FDT-H/SL","24","1"
"U5","MCP2558FD","Digikey","MCP2558FD-H/SN-ND","Microchip","MCP2558FD-H/SN","25","1"
"U6","4MHz","Digikey","XC3114CT-ND","ECS Inc","ECS-5032MV-40-CN-TR","26","1"
"U7","TPS613222ADBVR","Digikey","296-50503-1-ND","Texas Instruments","TPS613222ADBVR","27","1"
"U9","LMR54410FDBVR","Digikey","296-LMR54410FDBVRCT-ND","Texas Instruments","LMR54410FDBVR","28","1"
"U10","24LC01BT-I/OT","Digikey","24LC01BT-I/OTCT-ND","Microchip","24LC01BT-I/OT","29","1"
"U11","MCP6006UT-E/OT","Digikey","150-MCP6006UT-E/OTCT-ND","Microchip","MCP6006UT-E/OT","30","1"
