### Footprint positions - created on 2025-04-27T22:25:53-0700 ###
### Printed by KiCad version 9.0.1-9.0.1-0~ubuntu24.04.1
## Unit = inches, Angle = deg.
## Side : bottom
# Ref     Val                 Package                      PosX       PosY       Rot  Side
C6        4.7uF-16V-10%-0603  C_0603_1608Metric          9.7366    -5.7274  180.0000  bottom
C7        0.1uF-25V-10%-0603  C_0603_1608Metric          9.6066    -5.7274  180.0000  bottom
C8        0.1uF-25V-10%-0603  C_0603_1608Metric          9.4771    -5.7274  180.0000  bottom
C9        0.1uF-25V-10%-0603  C_0603_1608Metric          9.5750    -5.5562  180.0000  bottom
C10       0.1uF-25V-10%-0603  C_0603_1608Metric          9.5750    -5.6250  180.0000  bottom
C11       0.1uF-25V-10%-0603  C_0603_1608Metric          9.4476    -5.6274  180.0000  bottom
C12       0.1uF-25V-10%-0603  C_0603_1608Metric          9.7071    -5.5474  180.0000  bottom
C13       0.1uF-25V-10%-0603  C_0603_1608Metric          9.7071    -5.6274  180.0000  bottom
C14       0.1uF-25V-10%-0603  C_0603_1608Metric          9.5571    -5.4874  180.0000  bottom
C15       0.1uF-25V-10%-0603  C_0603_1608Metric          9.4471    -5.5574  180.0000  bottom
C17       22uF-25V-10%-1210   C_1210_3225Metric          9.3700    -3.6700   90.0000  bottom
C18       10uF-10%-10V-0805   C_0805_2012Metric         10.1100    -3.8200   90.0000  bottom
C19       0.1uF-25V-10%-0603  C_0603_1608Metric          9.7800    -4.5100  -90.0000  bottom
C20       0.1uF-25V-10%-0603  C_0603_1608Metric          9.5200    -4.7200    0.0000  bottom
C21       0.1uF-25V-10%-0603  C_0603_1608Metric          9.6500    -4.7200    0.0000  bottom
C26       10uF-10%-10V-0805   C_0805_2012Metric          9.9200    -3.8200   90.0000  bottom
C27       10uF-10%-10V-0805   C_0805_2012Metric          9.9200    -3.6400   90.0000  bottom
C30       0.1uF-25V-10%-0603  C_0603_1608Metric          8.4022    -6.1507    0.0000  bottom
C34       1nF-50V-5%-0603     C_0603_1608Metric          8.4019    -6.0517  180.0000  bottom
C35       1nF-50V-5%-0603     C_0603_1608Metric          8.4019    -5.8717  180.0000  bottom
C37       1nF-50V-5%-0603     C_0603_1608Metric          8.4019    -5.8117  180.0000  bottom
D2        PESD1CAN            SOT-23                     9.5831    -4.1800    0.0000  bottom
R7        63.4k-1%-0603       R_0603_1608Metric         10.0100    -3.4500  -90.0000  bottom
R8        20.0k-1%-0603       R_0603_1608Metric          9.8900    -3.4500   90.0000  bottom
R13       20.0k-1%-0603       R_0603_1608Metric         10.0700    -3.4500   90.0000  bottom
R16       10.0k-1%-0603       R_0603_1608Metric          9.9500    -3.4500  -90.0000  bottom
U5        MCP2558FD           SO-8_3.9x4.9mm_P1.27mm     9.5700    -4.5800  180.0000  bottom
## End
