Item,QUANTITY,Reference,Value,MFG,MFG P/N,DIST,DIST P/N
1,1,C7,10pF-5%-50V-0805,Samsung Electro-Mechanics,CL21C100CBANNNC,Digikey,1276-2561-1-ND
2,3,"C1,C2,C5",56uF 25V,Panasonic Electronic Components,25SEPF56M,Mouser,667-25SEPF56M 
3,2,"C13,C17",4.7uF-10%-50V-0805,Murata Electronics,GRM21BR61H475KE51L,Digikey,490-10751-1-ND
4,2,"C15,C16",47pF-5%-50V-0805,YAGEO,CC0805JRNPO9BN470,Digikey,311-1107-1-ND
5,3,"C3,C4,C10",120uF 25V,Panasonic,25SEK120M,Digikey,P122635-ND
6,5,"C6,C8,C11,C12,C14",0.22uF-10%-50V-0805,KEMET,C0805C224K5RAC7800,Digikey,399-C0805C224K5RACTUCT-ND
7,2,"C9,C18",0.01uF-10%-50V-0805,Samsung Electro-Mechanics,CL21B103KBANNNC,Digikey,1276-1015-1-ND
8,2,"CONN1,CONN2",10 Pin Receptical 2mm,Molex,511101060,Digikey,WM3341-ND
9,1,D1,STPS20M100SG-TR,STmicroelectronics,STPS20M100SG-TR,Digikey,497-10993-1-ND
10,1,D2,20V,Nexperia,"BZT52H-C20,115",Digikey,1727-3596-1-ND
11,1,D5,24V,Littelfuse,SMDJ24CA,Digikey,SMDJ24CACT-ND
12,2,"D3,D4",15V,Nexperia,"BZT52H-C15,115",Digikey,1727-3593-1-ND
13,2,"D6,D7","PC,PWR",Kingbright,WP937EGW,Digikey,754-1751-ND
14,1,J2,NX BUTTON,Molex,878331031,Digikey,WM3598-ND
15,1,J4,USB_C_Receptacle_USB2.0_14P,Molex,2171790001,Digikey,900-2171790001CT-ND
16,1,J5,NX CONTROL & UART,Sullins Connector Solutions,PPTC181LFBN-RC,Digikey,S7016-ND
17,1,J6,NX BUTTON,Molex,878321010,Digikey,WM4227-ND
18,2,"J1,J3","Power,V_OUT",Weidmuller,1824740000,Digikey,281-2110-ND
19,1,L1,4.7 uH-8m-20%,Vishay Dale,IHLE5050FHER4R7M5A ,Mouser,70-IHLE5050FHR4R7M5A 
20,1,L2,HZ0805E601R-10,Laird-Signal Integrity Products,HZ0805E601R-10,Digikey,240-2399-1-ND
21,1,Q1,CSD16322Q5,Texas Instruments,CSD16322Q5,Digikey,296-25112-1-ND
22,1,Q3,MMBT3906LT1G,onsemi,MMBT3906LT1G,Digikey,MMBT3906LT1GOSCT-ND
23,2,"Q2,Q4",SQM40061EL_GE3,Vishay Siliconix,SQM40061EL_GE3,Digikey,SQM40061EL_GE3CT-ND
24,1,R1,4.0m-1%-2512,Bourns Inc.,CRE2512-FZ-R004E-3,Digikey,CRE2512-FZ-R004E-3CT-ND
25,1,R2,14.0k-1%-0805,Yageo,RC0805FR-0714KL,Digikey,311-14.0KCRCT-ND
26,1,R3,100R-1%-0805,Yageo,RC0805FR-07100RL,Digikey,311-100CRCT-ND
27,1,R4,59.0k-1%-0805,Yageo,RC0805FR-0759KL,Digikey,311-59.0KCRCT-ND
28,1,R11,1.00R-1%-0805,Vishay Dale,CRCW08051R00FKEAHP,Digikey,541-1.00TCT-ND
29,3,"R5,R6,R9",1.05k-1%-0805,Yageo,RC0805FR-071K05L,Digikey,311-1.05KCRCT-ND
30,6,"R7,R8,R10,R12-R14",5.10k-1%-0805,Yageo,RC0805FR-075K1L,Digikey,311-5.10KCRCT-ND
31,2,"SW1,SW2","RECOVERY,RESET",E-Switch,TL1105VF100Q,Digikey,EG2507-ND
32,1,U1,LM3478MA,Texas Instruments,LM3478MAX/NOPB,Digikey,296-38111-1-ND
33,1,U2,ISO6721BDR,Texas Instruments,ISO6721BDR,Digikey,296-ISO6721BDRCT-ND
34,1,U3,FT232RNL,FTDI,FT232RNL,Digikey,768-FT232RNL-REELCT-ND
35,3,W1,10 Conductor 1mm Pitch Ribbon Cable,Assmann WSW Components,AWG28-10/G-1/300,Digikey,123-AWG28-10/G-1/300-DS-ND
