### Footprint positions - created on 2025-10-19T09:54:09-0700 ###
### Printed by KiCad version 9.0.4-9.0.4-0~ubuntu24.04.1
## Unit = inches, Angle = deg.
## Side : top
# Ref     Val                          Package                                    PosX       PosY       Rot  Side
C1        56uF_25V                     CP_Radial_D8.0mm_P3.50mm_H7.0mm         10.8600    -3.2749  -90.0000  top
C2        56uF_25V                     CP_Radial_D8.0mm_P3.50mm_H7.0mm         10.8600    -3.6249  -90.0000  top
C3        120uF_25V                    CP_Radial_D8.0mm_P3.50mm_H7.0mm         12.0200    -3.9349  -90.0000  top
C4        120uF_25V                    CP_Radial_D8.0mm_P3.50mm_H7.0mm         12.3800    -3.9349  -90.0000  top
C5        56uF_25V                     CP_Radial_D8.0mm_P3.50mm_H7.0mm         10.8600    -3.9749  -90.0000  top
C6        0.22uF-10%-50V-0805          C_0805_2012Metric                       11.6700    -3.9950  -90.0000  top
C7        10pF-5%-50V-0805             C_0805_2012Metric                       11.2890    -4.0160  -90.0000  top
C8        0.22uF-10%-50V-0805          C_0805_2012Metric                       11.3800    -4.1500  180.0000  top
C9        0.01uF-10%-50V-0805          C_0805_2012Metric                       11.5200    -4.1500    0.0000  top
C10       120uF_25V                    CP_Radial_D8.0mm_P3.50mm_H7.0mm         12.2000    -4.2449  -90.0000  top
C11       0.1uF-10%-25V-0805           C_0805_2012Metric                       10.0772    -4.8816  -90.0000  top
C12       0.1uF-10%-25V-0805           C_0805_2012Metric                       10.0772    -5.1178   90.0000  top
C13       4.7uF-10%-25V-0805           C_0805_2012Metric                       10.5496    -5.5052    0.0000  top
C14       0.1uF-10%-25V-0805           C_0805_2012Metric                       10.5496    -5.5840    0.0000  top
C15       47pF-5%-50V-0805             C_0805_2012Metric                       10.5496    -5.6640    0.0000  top
C16       47pF-5%-50V-0805             C_0805_2012Metric                       10.5496    -5.7440    0.0000  top
C17       4.7uF-10%-50V-0805           C_0805_2012Metric                       11.0300    -5.8000  180.0000  top
C18       0.01uF-10%-50V-0805          C_0805_2012Metric                       10.1760    -5.8420    0.0000  top
D1        STPS20M100SG-TR              TO-263-2                                11.2988    -3.4400  180.0000  top
D2        20V                          D_SOD-123F                              11.0777    -4.8551  180.0000  top
D3        15V                          D_SOD-123F                              11.4528    -4.9351    0.0000  top
D4        15V                          D_SOD-123F                              11.7600    -5.2751  -90.0000  top
D5        24V                          D_SMC_Littelfuse_DO-214AB               11.9300    -5.7200   90.0000  top
D6        PC                           LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm    10.7571    -6.0695    0.0000  top
D7        PWR                          LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm    10.9933    -6.0695    0.0000  top
FID1      Fiducial                     Fiducial_1.6mm_Mask3mm                   9.0551    -3.5827    0.0000  top
FID2      Fiducial                     Fiducial_1.6mm_Mask3mm                  12.5984    -3.5827    0.0000  top
FID3      Fiducial                     Fiducial_1.6mm_Mask3mm                  12.5984    -6.0630    0.0000  top
J1        V_OUT                        Weidmuller-1824740000                   10.6034    -3.3166  -90.0000  top
J2        NX_BUTTON                    Molex-878321010                          9.5472    -3.9990  180.0000  top
J3        Power                        Weidmuller-1824740000                   11.4410    -5.8662    0.0000  top
J4        USB_C_Receptacle_USB2.0_14P  Molex-USB-C-2171790001                  10.3543    -6.0986    0.0000  top
L1        4.7_uH-8m-20%                INDUCTOR_IHLE-5050FH-Vishay             12.0352    -3.5100   90.0000  top
L2        HZ0805E601R-10               L_0805_2012Metric                       10.1760    -5.7470    0.0000  top
Q1        CSD16322Q5                   TI-SON5x6                               11.5726    -3.7800  180.0000  top
Q2        SQM40061EL_GE3               TO-263-2                                11.9549    -4.8051    0.0000  top
Q3        MMBT3906LT1G                 SOT-23                                  11.4528    -4.8151    0.0000  top
Q4        SQM40061EL_GE3               TO-263-2                                11.2939    -5.2651  180.0000  top
R1        4.0m-1%-2512                 R_2512_6332Metric                       11.2900    -3.7500    0.0000  top
R2        14.0k-1%-0805                R_0805_2012Metric                       11.1130    -3.9090  180.0000  top
R3        100R-1%-0805                 R_0805_2012Metric                       11.2531    -3.9090    0.0000  top
R4        59.0k-1%-0805                R_0805_2012Metric                       11.7500    -3.9950   90.0000  top
R5        1.05k-1%-0805                R_0805_2012Metric                       11.2090    -4.0160   90.0000  top
R6        1.05k-1%-0805                R_0805_2012Metric                       11.2400    -4.1500    0.0000  top
R7        5.10k-1%-0805                R_0805_2012Metric                       11.2777    -4.6951    0.0000  top
R8        5.10k-1%-0805                R_0805_2012Metric                       11.2777    -4.7751    0.0000  top
R9        1.05k-1%-0805                R_0805_2012Metric                       11.2777    -4.9351    0.0000  top
R10       5.10k-1%-0805                R_0805_2012Metric                       11.8600    -5.2751  -90.0000  top
R11       1.00R-1%-0805                R_0805_2012Metric                       11.1752    -5.8000    0.0000  top
R12       5.10k-1%-0805                R_0805_2012Metric                       10.5496    -5.9090  180.0000  top
