### Footprint positions - created on 2026-06-14T21:12:44 ###
### Printed by KiCad version 10.0.3-10.0.3~ubuntu26.04.1
## Unit = inches, Angle = deg.
## Side : top
# Ref     Val                          Package                                                       PosX       PosY       Rot  Side
C1        22uF-10%-16V-0805            C_0805_2012Metric                                           9.2740    -3.7270  -90.0000  top
C2        22uF-10%-16V-0805            C_0805_2012Metric                                           9.1440    -3.8390  180.0000  top
C3        0.1uF-50V-10%-0603           C_0603_1608Metric                                           8.4876    -3.8900  -90.0000  top
C4        22uF-10%-16V-0805            C_0805_2012Metric                                           9.1440    -3.9190  180.0000  top
C5        10uF-50V-10%-X7R-1210        C_1210_3225Metric                                           7.8682    -3.9300  -90.0000  top
C6        0.1uF-50V-10%-0603           C_0603_1608Metric                                           8.9820    -4.0860  180.0000  top
C7        10uF-50V-10%-X7R-1210        C_1210_3225Metric                                           8.0500    -4.0980  180.0000  top
C8        0.1uF-50V-10%-0603           C_0603_1608Metric                                           9.4695    -4.1141    0.0000  top
C9        0.1uF-50V-10%-0603           C_0603_1608Metric                                           9.4695    -4.1741    0.0000  top
C10       0.1uF-50V-10%-0603           C_0603_1608Metric                                           9.4695    -4.2341    0.0000  top
C11       10uF-50V-10%-X7R-1210        C_1210_3225Metric                                           6.5950    -4.3000   90.0000  top
C12       10uF-50V-10%-X7R-1210        C_1210_3225Metric                                           6.7350    -4.3000   90.0000  top
C13       10uF-50V-10%-X7R-1210        C_1210_3225Metric                                           6.8750    -4.3000   90.0000  top
C14       10uF-50V-10%-X7R-1210        C_1210_3225Metric                                           7.0150    -4.3000   90.0000  top
C15       10uF-50V-10%-X7R-1210        C_1210_3225Metric                                           8.0250    -4.3000   90.0000  top
C16       10uF-50V-10%-X7R-1210        C_1210_3225Metric                                           8.1650    -4.3000   90.0000  top
C17       10uF-50V-10%-X7R-1210        C_1210_3225Metric                                           8.3050    -4.3000   90.0000  top
C18       10uF-50V-10%-X7R-1210        C_1210_3225Metric                                           8.4450    -4.3017   90.0000  top
C19       10uF-50V-10%-X7R-1210        C_1210_3225Metric                                           8.5850    -4.3017   90.0000  top
C20       0.1uF-50V-10%-0603           C_0603_1608Metric                                           8.9100    -4.3800  180.0000  top
C21       10uF-50V-10%-X7R-1210        C_1210_3225Metric                                           6.5950    -4.5000  -90.0000  top
C22       10uF-50V-10%-X7R-1210        C_1210_3225Metric                                           6.7350    -4.5000  -90.0000  top
C23       10uF-50V-10%-X7R-1210        C_1210_3225Metric                                           6.8750    -4.5000  -90.0000  top
C24       10uF-50V-10%-X7R-1210        C_1210_3225Metric                                           7.0150    -4.5000  -90.0000  top
