Designator,Mid X,Mid Y,Rotation,Layer
C1,167.4,-132.958,0.0,top
C10,167.4,-126.1,180.0,bottom
C11,174.117,-136.398,270.0,top
C12,161.244,-114.325,90.0,bottom
C13,181.738,-125.197,90.0,bottom
C14,161.244,-114.325,90.0,top
C15,164.8,-114.325,90.0,bottom
C16,164.8,-114.325,90.0,top
C17,164.8,-120.421,270.0,bottom
C18,161.244,-120.421,270.0,bottom
C19,175.642,-125.197,90.0,bottom
C2,178.562,-136.398,270.0,bottom
C20,174.118,-125.197,270.0,bottom
C21,180.214,-125.197,270.0,top
C22,177.166,-125.197,90.0,bottom
C23,197.612,-118.575,270.0,top
C24,194.056,-118.575,270.0,top
C25,194.056,-112.987,90.0,top
C26,197.612,-112.987,90.0,top
C27,190.5,-118.575,270.0,top
C28,190.5,-112.987,90.0,bottom
C29,197.612,-118.575,270.0,bottom
C3,181.61,-136.398,270.0,top
C30,194.056,-118.575,270.0,bottom
C31,194.056,-112.987,90.0,bottom
C32,197.612,-112.987,90.0,bottom
C33,190.5,-112.987,90.0,top
C34,188.4,-107.7,270.0,top
C35,167.4,-130.545,180.0,bottom
C36,240.5665,-107.867,90.0,bottom
C37,241.9635,-101.009,0.0,bottom
C38,238.5345,-107.867,90.0,bottom
C39,196.85,-101.3495,180.0,bottom
C4,180.086,-136.398,270.0,top
C40,233.5815,-101.263,180.0,bottom
C41,235.8675,-99.612,270.0,bottom
C42,238.0265,-110.788,270.0,top
C43,235.7905,-111.064,90.0,top
C44,197.739,-128.778,0.0,top
C45,203.327,-131.826,0.0,top
C46,250.3455,-105.613,90.0,top
C47,247.1705,-108.407,180.0,top
C48,249.0755,-101.93,270.0,top
C5,178.562,-136.398,270.0,top
C57,251.968,-142.875,0.0,top
C58,248.412,-142.875,0.0,top
C59,248.412,-144.399,0.0,top
C6,167.4,-126.1,0.0,top
C60,241.046,-130.81,0.0,top
C61,248.412,-139.827,0.0,top
C62,248.412,-141.351,0.0,top
C63,232.664,-135.001,180.0,bottom
C64,232.664,-130.048,180.0,bottom
C7,164.8,-120.421,270.0,top
C8,161.244,-120.421,270.0,top
C9,177.038,-136.398,270.0,top
D10,195.326,-141.605,90.0,top
D11,200.533,-141.732,270.0,top
D2,168.148,-138.43,180.0,top
D4,164.846,-107.188,270.0,top
D5,171.577,-122.809,90.0,top
D6,185.928,-123.063,90.0,top
D7,191.354,-133.731,270.0,top
D8,203.923,-141.732,270.0,top
D9,191.389,-141.478,90.0,top
H1,159.983,-78.49,0.0,top
H2,159.983,-136.49,0.0,top
H3,251.983,-136.49,0.0,top
H4,251.983,-78.49,0.0,top
J1,245.381,-118.381,0.0,top
J10,199.313122,-84.739924,90.0,top
J12,263.398,-103.505,0.0,top
J13,269.875,-103.378,0.0,top
J14,248.285,-148.729,0.0,top
J2,164.3888,-146.4718,180.0,top
J3,241.554,-95.2435,0.0,top
J4,170.560322,-79.177324,180.0,top
J5,178.0286,-145.2328,270.0,top
J6,228.065922,-79.177324,180.0,top
J7,174.534,-93.726,90.0,top
L1,177.667,-105.818,0.0,top
L2,251.968,-140.97,0.0,top
L3,245.9005,-100.787,270.0,top
LOGO1,58.796893,-89.46878,0.0,top
LP1,198.144,-140.589,0.0,top
Q10,194.1,-107.7,0.0,top
Q2,169.539,-115.404,90.0,top
Q3,175.0,-114.52,270.0,top
Q4,185.922,-115.404,90.0,top
Q5,180.476,-114.52,270.0,top
Q6,252.2505,-101.93,180.0,top
Q7,232.4885,-111.064,0.0,top
Q8,232.4885,-114.62,180.0,top
Q9,162.1,-126.8,270.0,top
R10,183.262,-125.197,270.0,top
R11,174.118,-125.197,90.0,top
R12,175.642,-125.197,90.0,top
R13,180.214,-125.197,90.0,bottom
R14,178.69,-125.197,90.0,top
R15,177.667,-119.915,0.0,top
R16,184.658,-133.35,270.0,top
R17,184.658,-136.398,270.0,top
R18,191.389,-141.478,90.0,bottom
R19,230.5335,-105.073,0.0,top
R2,183.134,-136.398,90.0,top
R20,239.5505,-110.788,90.0,top
R21,237.0605,-114.62,90.0,top
R22,235.5365,-114.62,90.0,top
R24,203.962,-141.732,270.0,bottom
R25,200.533,-141.732,270.0,bottom
R3,171.323,-132.969,90.0,bottom
R30,244.983,-144.399,180.0,top
R31,251.968,-144.399,0.0,top
R4,171.323,-132.969,90.0,top
R5,175.514,-136.398,270.0,bottom
R6,174.117,-136.398,90.0,bottom
R7,175.514,-136.398,270.0,top
R8,186.182,-136.398,90.0,bottom
R9,181.738,-125.197,90.0,top
SW1,233.68,-149.371562,0.0,top
SW2,223.012,-149.320762,0.0,top
U1,177.673,-130.849,0.0,top
U2,167.4,-129.529,0.0,top
U3,237.7725,-103.803,0.0,top
U4,197.739,-132.461,180.0,top
U5,247.1705,-105.613,180.0,top
U6,196.85,-102.4925,90.0,top
U8,241.046,-138.176,270.0,top
U9,232.664,-132.588,0.0,top
