"Item","QUANTITY","Reference","Value","MFG","MFG P/N","DIST","DIST P/N"
"1","23","C1-C10,C12,C14,C15,C18,C19,C23,C24,C43-C45,C49,C50,C54","10uF-50V-10%-X7R-1210","Murata Eelectronics","GRM32ER71H106KA12L","",""
"2","18","C11,C20-C22,C25,C29,C32,C34,C37-C41,C46,C48,C51-C53","0.1uF-50V-10%-0603","YAGEO","CC0603KRX7R9BB104","",""
"3","5","C13,C16,C17,C30,C47","22uF-10%-16V-0805","Samsung Electro-Mechanics","CL21A226KOQNNNE","",""
"4","2","C26,C28","5.6nF-10%-50V-0603","YAGEO","CC0603KRX7R9BB562","",""
"5","3","C27,C55,C56","47pF-50V-10%-0603","KEMET","C0603C470K5GACAUTO","",""
"6","1","C31","270pF-10%-50V-0603","YAGEO","CC0603KRX7R9BB271","",""
"7","2","C33,C42","15nF-10%-50V-0603","YAGEO","CC0603KRX7R9BB153","",""
"8","1","C35","150pF-50V-10%-0603","YAGEO","CC0603KRX7R9BB151 ","",""
"9","1","C36","1uF-50V-10%-0603","Taiyo Yuden","UMK107AB7105KA-T","",""
"10","1","D1","24V"," DOWO","SMDJ24CA","",""
"11","2","D2,D3","PC,PWR","BrtLed(Bright LED Elec)","BL-HGK33-TRB ","",""
"12","2","D4,D5","STAT,WORD","XINGLIGHT","XL-3216UYC ","",""
"13","3","D6-D8","BAT54KFILM","STmicro","STMicroelectronics","",""
"14","1","D9","PESD1CAN","Nexperia","PESD1CAN,215","Digkey","1727-3817-1-ND"
"15","2","J1,J2","Terminal","Keystone Electronics","7774","Digikey","36-7774-ND"
"16","1","J3","NX CONTROL & UART","Molex","PH1RB-15-UA","Digikey","2057-PH1RB-15-UA-ND"
"17","2","J4,J10","15V,POWER","Molex","0436500200","Digikey","WM1860-ND"
"18","2","J5,J6","NX CONTROL & UART","Sullins Connector Solutions","PPTC151LFBN-RC","Digikey","S7013-ND"
"19","1","J7","USB1","Molex","5040500491","Digikey","WM10137CT-ND"
"20","1","J8","SWD","Adam Tech","PH1RB-05-UA","Digikey","2057-PH1RB-05-UA-ND"
"21","1","J9","CAN1","Molex","0705550036","Digikey","WM4175-ND"
"22","1","J11","USB_C_Receptacle_USB2.0_14P","Global Connector Technology","USB4110-GF-A ","Digikey","2073-USB4110-GF-A-1-ND"
"23","1","L1","2.2uH-19A-5.1mohm-20%","Koher Electronic","MDA1050-2R2M","",""
"24","1","L2","2.2uH-41mOhm-20%","KOHER Electronic","MDA4020-2R2M ","",""
"25","1","L3","HZ0805E601R-10","Laird-Signal Integrity Products","HZ0805E601R-10","Digikey","240-2399-1-ND"
"26","4","LP1-LP4","Light Pipe","Bivar","Bivar-SLP3-150-100-F","Digikey","492-1471-ND"
"27","4","Q1,Q6,Q8,Q9","CSD19534Q5A","Texas Instruments","CSD19534Q5A","",""
"28","2","Q2,Q7","SI2301CDS-T1-GE3","Vishay-Siliconix","SI2301CDS-T1-GE3 ","",""
"29","2","Q3,Q4","CSD17578Q5A","Texas Instruments","CSD17578Q5A","",""
"30","1","Q5","SS8050","Jiangsu Changjing Electronics Technology Co., Ltd.","SS8050(RANGE:200-350)","",""
"31","2","R1,R2","1K-1%-0603","YAGEO","RC0603FR-071KL","",""
"32","1","R3","357K-1%-0603","YAGEO","AC0603FR-07357KL","",""
"33","3","R4,R11,R15","13K-1%-0603","YAGEO","RC0603FR-0713KL","",""
"34","1","R5","20K-1%-0603","YAGEO","RC0603FR-0720KL","",""
"35","1","R6","5.9k-1%-0603","UNI-ROYAL","0603WAF5901T5E","",""
"36","2","R7,R8","100R-1%-0603","YAGEO","RC0603FR-07100RL","",""
"37","1","R9","1M-1%-0603","YAGEO","RC0603FR-071ML","",""
"38","4","R10,R13,R18,R22","0R-1%-0603","YAGEO","RC0603FR-070RL","",""
"39","2","R12,R19","93.1k-1%-0603","YAGEO","AC0603FR-0793K1L","",""
"40","1","R14","10mOhm-3W-1%-2512","YAGEO","PA2512FKF7T0R01E","",""
"41","1","R16","205K-1%-0603","UNI-ROYAL","0603WAF2053T5E","",""
"42","2","R17,R23","2K-1%-0603","YAGEO","RC0603FR-072KL","",""
"43","1","R20","10R0-1%-0603","YAGEO","RC0603FR-0710RL","",""
"44","1","R21","249K-1%-0603","YAGEO","RT0603FRE07249KL","",""
"45","2","R24,R25","5.1k-1%-0603","YAGEO","RC0603FR-075K1L","",""
"46","2","SW1,SW2","RECOVERY,RESET","E-Switch","TL1105VF100Q","Digikey","EG2507-ND"
"47","2","U1,U7","LM74700QDBVRQ1","Texas Instruments","LM74700QDBVRQ1","",""
"48","1","U2","TPS613222ADBV","Texas Instruments","TPS613222ADBVR","Digikey","296-50503-1-ND"
"49","1","U3","STM32G431CBTx","STMicroelectronics","STM32G431CBT6","",""
"50","1","U4","LM5176PWPR","Texas Instruments","LM5176PWPR","",""
"51","1","U5","ISO6721BDR","Texas Instruments","ISO6721BDR","Digikey","296-ISO6721BDRCT-ND"
"52","1","U6","FT232RNL","FTDI","FT232RNL","Mouser","895-FT232RNL-TUBE "
"53","1","U8","TJA1051T/3/1J","NXP","TJA1051T/3/1J","",""
