### Footprint positions - created on 2026-08-14T19:52:59 ###
### Printed by KiCad version 10.0.5-10.0.5~ubuntu24.04.1
## Unit = inches, Angle = deg.
## Side : bottom
# Ref     Val                    Package                                                       PosX       PosY       Rot  Side
C11       0.1uF-50V-10%-0603     C_0603_1608Metric                                           7.3450    -3.8700  -90.0000  bottom
C12       10uF-50V-10%-X7R-1210  C_1210_3225Metric                                           7.9500    -3.9000  -90.0000  bottom
C13       22uF-10%-16V-0805      C_0805_2012Metric                                           8.7969    -3.9660  -90.0000  bottom
C14       10uF-50V-10%-X7R-1210  C_1210_3225Metric                                           7.6618    -4.0267    0.0000  bottom
C15       10uF-50V-10%-X7R-1210  C_1210_3225Metric                                           7.4618    -4.0267  180.0000  bottom
C16       22uF-10%-16V-0805      C_0805_2012Metric                                           8.9269    -4.0780    0.0000  bottom
C17       22uF-10%-16V-0805      C_0805_2012Metric                                           8.9269    -4.1580    0.0000  bottom
C18       10uF-50V-10%-X7R-1210  C_1210_3225Metric                                           7.6618    -4.1667    0.0000  bottom
C19       10uF-50V-10%-X7R-1210  C_1210_3225Metric                                           7.4618    -4.1667  180.0000  bottom
C20       0.1uF-50V-10%-0603     C_0603_1608Metric                                           9.3517    -4.1866   90.0000  bottom
C21       0.1uF-50V-10%-0603     C_0603_1608Metric                                           9.2917    -4.1866   90.0000  bottom
C22       0.1uF-50V-10%-0603     C_0603_1608Metric                                           9.2317    -4.1866   90.0000  bottom
C23       10uF-50V-10%-X7R-1210  C_1210_3225Metric                                           7.6618    -4.3067    0.0000  bottom
C24       10uF-50V-10%-X7R-1210  C_1210_3225Metric                                           7.4618    -4.3067  180.0000  bottom
C25       0.1uF-50V-10%-0603     C_0603_1608Metric                                           8.9268    -4.4501  180.0000  bottom
C26       5.6nF-10%-50V-0603     C_0603_1608Metric                                           6.6218    -4.5167  180.0000  bottom
C27       47pF-50V-10%-0603      C_0603_1608Metric                                           7.0718    -4.5267  180.0000  bottom
C28       5.6nF-10%-50V-0603     C_0603_1608Metric                                           6.6218    -4.5767  180.0000  bottom
C29       0.1uF-50V-10%-0603     C_0603_1608Metric                                           7.1918    -4.5867  180.0000  bottom
C30       22uF-10%-16V-0805      C_0805_2012Metric                                           8.9159    -4.6182    0.0000  bottom
C31       270pF-10%-50V-0603     C_0603_1608Metric                                           6.6218    -4.6367  180.0000  bottom
C32       0.1uF-50V-10%-0603     C_0603_1608Metric                                           9.3798    -4.6741  -90.0000  bottom
C33       15nF-10%-50V-0603      C_0603_1608Metric                                           6.6218    -4.6967  180.0000  bottom
C34       0.1uF-50V-10%-0603     C_0603_1608Metric                                           9.0858    -4.7461  -90.0000  bottom
C35       150pF-50V-10%-0603     C_0603_1608Metric                                           6.6218    -4.7567  180.0000  bottom
C36       1uF-50V-10%-0603       C_0603_1608Metric                                           7.1918    -4.8267    0.0000  bottom
C37       0.1uF-50V-10%-0603     C_0603_1608Metric                                           7.1918    -4.8867    0.0000  bottom
C38       0.1uF-50V-10%-0603     C_0603_1608Metric                                           8.3680    -4.9430  -90.0000  bottom
C39       0.1uF-50V-10%-0603     C_0603_1608Metric                                           6.6218    -4.9967  180.0000  bottom
C40       0.1uF-50V-10%-0603     C_0603_1608Metric                                           7.1928    -5.0677    0.0000  bottom
C41       0.1uF-50V-10%-0603     C_0603_1608Metric                                           8.0850    -5.1400   90.0000  bottom
C42       15nF-10%-50V-0603      C_0603_1608Metric                                           7.9238    -5.2094    0.0000  bottom
C43       10uF-50V-10%-X7R-1210  C_1210_3225Metric                                           7.6618    -5.3167    0.0000  bottom
C44       10uF-50V-10%-X7R-1210  C_1210_3225Metric                                           7.4618    -5.3167  180.0000  bottom
C45       10uF-50V-10%-X7R-1210  C_1210_3225Metric                                           6.8720    -5.3167  180.0000  bottom
C46       0.1uF-50V-10%-0603     C_0603_1608Metric                                           8.4980    -5.3410    0.0000  bottom
C47       22uF-10%-16V-0805      C_0805_2012Metric                                           7.9238    -5.3594  180.0000  bottom
C48       0.1uF-50V-10%-0603     C_0603_1608Metric                                           9.4060    -5.4220  180.0000  bottom
C49       10uF-50V-10%-X7R-1210  C_1210_3225Metric                                           7.6618    -5.4567    0.0000  bottom
C50       10uF-50V-10%-X7R-1210  C_1210_3225Metric                                           7.4618    -5.4567  180.0000  bottom
C51       0.1uF-50V-10%-0603     C_0603_1608Metric                                           7.9238    -5.5494  180.0000  bottom
C52       0.1uF-50V-10%-0603     C_0603_1608Metric                                           6.8720    -5.5567  180.0000  bottom
C53       0.1uF-50V-10%-0603     C_0603_1608Metric                                           9.1180    -5.5643  -90.0000  bottom
C54       10uF-50V-10%-X7R-1210  C_1210_3225Metric                                           6.8720    -5.6567  180.0000  bottom
C55       47pF-50V-10%-0603      C_0603_1608Metric                                           7.8600    -5.8000  -90.0000  bottom
C56       47pF-50V-10%-0603      C_0603_1608Metric                                           7.8000    -5.8000  -90.0000  bottom
D6        BAT54KFILM             D_SOD-523                                                   7.1918    -4.7067    0.0000  bottom
D7        BAT54KFILM             D_SOD-523                                                   7.1928    -5.0077    0.0000  bottom
D8        BAT54KFILM             D_SOD-523                                                   6.6218    -5.1167    0.0000  bottom
D9        PESD1CAN               SOT-23                                                      9.5850    -5.5650  180.0000  bottom
L2        2.2uH-41mOhm-20%       KOHER-MDA4020-2R2M                                          8.8989    -3.8120    0.0000  bottom
L3        HZ0805E601R-10         L_0805_2012Metric                                           7.9238    -5.2794    0.0000  bottom
LOGO2     SPACE_COOKIES_LOGO     SPACE_COOKIES_LOGO_7mm                                     10.5350    -4.9450   90.0000  bottom
Q1        CSD19534Q5A            TI-SON5x6                                                   7.7400    -3.8000  180.0000  bottom
Q2        SI2301CDS-T1-GE3       SOT-23                                                      9.1759    -3.9626    0.0000  bottom
Q3        CSD17578Q5A            TI-SON5x6                                                   7.5518    -4.4867    0.0000  bottom
Q4        CSD17578Q5A            TI-SON5x6                                                   7.5866    -4.7011  180.0000  bottom
Q5        SS8050                 SOT-23                                                      8.9159    -4.7482  -90.0000  bottom
Q6        CSD19534Q5A            TI-SON5x6                                                   7.5866    -4.9167  180.0000  bottom
Q7        SI2301CDS-T1-GE3       SOT-23                                                      8.9159    -4.9182  -90.0000  bottom
Q8        CSD19534Q5A            TI-SON5x6                                                   7.5518    -5.1317    0.0000  bottom
Q9        CSD19534Q5A            TI-SON5x6                                                   7.0950    -5.3976  -90.0000  bottom
R1        1K-1%-0603             R_0603_1608Metric                                           8.9268    -4.2701    0.0000  bottom
R2        1K-1%-0603             R_0603_1608Metric                                           8.9268    -4.3301    0.0000  bottom
R3        357K-1%-0603           R_0603_1608Metric                                           6.6218    -4.3367    0.0000  bottom
R4        13K-1%-0603            R_0603_1608Metric                                           8.9268    -4.3901    0.0000  bottom
R5        20K-1%-0603            R_0603_1608Metric                                           6.6218    -4.3967  180.0000  bottom
R6        5.9k-1%-0603           R_0603_1608Metric                                           6.6218    -4.4567    0.0000  bottom
R7        100R-1%-0603           R_0603_1608Metric                                           7.1918    -4.4667  180.0000  bottom
R8        100R-1%-0603           R_0603_1608Metric                                           7.1918    -4.5267    0.0000  bottom
