### Footprint positions - created on 2026-08-14T19:52:59 ###
### Printed by KiCad version 10.0.5-10.0.5~ubuntu24.04.1
## Unit = inches, Angle = deg.
## Side : top
# Ref     Val                          Package                                                      PosX       PosY       Rot  Side
C1        10uF-50V-10%-X7R-1210        C_1210_3225Metric                                          7.4618    -4.0267  180.0000  top
C2        10uF-50V-10%-X7R-1210        C_1210_3225Metric                                          7.4618    -4.1667  180.0000  top
C3        10uF-50V-10%-X7R-1210        C_1210_3225Metric                                          7.6618    -4.1667    0.0000  top
C4        10uF-50V-10%-X7R-1210        C_1210_3225Metric                                          7.4618    -4.3067  180.0000  top
C5        10uF-50V-10%-X7R-1210        C_1210_3225Metric                                          7.6618    -4.3067    0.0000  top
C6        10uF-50V-10%-X7R-1210        C_1210_3225Metric                                          6.8720    -5.3167  180.0000  top
C7        10uF-50V-10%-X7R-1210        C_1210_3225Metric                                          7.4618    -5.3167  180.0000  top
C8        10uF-50V-10%-X7R-1210        C_1210_3225Metric                                          7.6618    -5.3167    0.0000  top
C9        10uF-50V-10%-X7R-1210        C_1210_3225Metric                                          7.4618    -5.4567  180.0000  top
C10       10uF-50V-10%-X7R-1210        C_1210_3225Metric                                          7.6618    -5.4567    0.0000  top
D1        24V                          D_SMC_Littelfuse_DO-214AB                                  6.6210    -5.4720  -90.0000  top
D2        PWR                          LED_1206_3216Metric                                        7.0520    -5.9266    0.0000  top
D3        PC                           LED_1206_3216Metric                                        7.2520    -5.9266    0.0000  top
D4        STAT                         LED_1206_3216Metric                                        9.2520    -5.9266    0.0000  top
D5        WORD                         LED_1206_3216Metric                                        9.4520    -5.9266    0.0000  top
H1        MountingHole                 MountingHole_2.5mm                                         6.2985    -3.0902    0.0000  top
H2        MountingHole                 MountingHole_2.5mm                                         9.9206    -3.0902    0.0000  top
H3        M3.7_MountingHole            MountingHole_3.7mm                                        10.3658    -3.3850    0.0000  top
H4        M3.7_MountingHole            MountingHole_3.7mm                                        10.3658    -5.3490    0.0000  top
H5        MountingHole                 MountingHole_2.5mm                                         6.2985    -5.3736    0.0000  top
H6        MountingHole                 MountingHole_2.5mm                                         9.9206    -5.3736    0.0000  top
H7        MountingHole                 MountingHole_2.5mm                                         6.5967    -3.2174    0.0000  top
H8        MountingHole                 MountingHole_2.5mm                                         6.5967    -3.9736    0.0000  top
H9        MountingHole                 MountingHole_2.5mm                                         7.0979    -3.9736    0.0000  top
H10       1.152mm_ToolingHole          ToolingHole_1.152mm                                        6.3317    -2.6855    0.0000  top
H11       1.152mm_ToolingHole          ToolingHole_1.152mm                                        6.3317    -6.2924    0.0000  top
H12       1.152mm_ToolingHole          ToolingHole_1.152mm                                        9.8887    -2.6855    0.0000  top
H13       1.152mm_ToolingHole          ToolingHole_1.152mm                                        9.7887    -6.2924    0.0000  top
J1        Terminal                     Keystone-7774                                              7.0150    -2.8922  180.0000  top
J2        Terminal                     Keystone-7774                                              8.9790    -2.8922  180.0000  top
J3        NX_CONTROL_&_UART            PinHeader_1x15_P2.54mm_Horizontal                          7.2970    -3.3362   90.0000  top
J4        15V                          Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal     7.5142    -3.6546   90.0000  top
J5        NX_CONTROL_&_UART            PinSocket_1x15_P2.54mm_Vertical                           10.3245    -3.6670    0.0000  top
J6        NX_CONTROL_&_UART            PinSocket_1x15_P2.54mm_Vertical                           10.7024    -3.6670    0.0000  top
J7        USB1                         Molex-PicoLatch-5040500491                                 9.3917    -3.8548  -90.0000  top
J8        SWD                          PinHeader_1x05_P2.54mm_Horizontal                          9.6653    -4.5130    0.0000  top
J9        CAN1                         Molex-70555-0001                                           9.8090    -5.5987  -90.0000  top
J10       POWER                        Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal     6.5841    -5.7597  180.0000  top
J11       USB_C_Receptacle_USB2.0_14P  GCT-USB-C-USB4110-GF-A                                     7.8300    -5.9027    0.0000  top
L1        2.2uH-19A-5.1mohm-20%        Koher-MDA1050                                              7.7858    -4.8127   90.0000  top
LOGO1     SPACE_COOKIES_LOGO           SPACE_COOKIES_LOGO_15mm                                    8.5300    -4.2250    0.0000  top
LP1       Light_Pipe                   Bivar-SLP3-150-100-F                                       7.0520    -5.9266    0.0000  top
LP2       Light_Pipe                   Bivar-SLP3-150-100-F                                       7.2520    -5.9266    0.0000  top
LP3       Light_Pipe                   Bivar-SLP3-150-100-F                                       9.2520    -5.9266    0.0000  top
LP4       Light_Pipe                   Bivar-SLP3-150-100-F                                       9.4520    -5.9266    0.0000  top
SW1       RESET                        SW_TL1105VF100Q_EWI                                        8.3914    -5.9310    0.0000  top
SW2       RECOVERY                     SW_TL1105VF100Q_EWI                                        8.8114    -5.9330    0.0000  top
## End
