Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C14, C15, C18, C19, C2, C23, C24, C3, C4, C43, C44, C45, C49, C5, C50, C54, C6, C7, C8, C9",1210,23,10uF-50V-10%-X7R-1210,C77102
"C11, C20, C21, C22, C25, C29, C32, C34, C37, C38, C39, C40, C41, C46, C48, C51, C52, C53",0603,18,0.1uF-50V-10%-0603,C14663
"C13, C16, C17, C30, C47",0805,5,22uF-10%-16V-0805,C296720
"C26, C28",0603,2,5.6nF-10%-50V-0603,C107095
"C27, C55, C56",0603,3,47pF-50V-10%-0603,C2168903
C31,0603,1,270pF-10%-50V-0603,C107084
"C33, C42",0603,2,15nF-10%-50V-0603,C107076
C35,0603,1,150pF-50V-10%-0603,C107075
C36,0603,1,1uF-50V-10%-0603,C105174
D1,D_SMC_Littelfuse_DO-214AB,1,24V,C284061
D2,1206,1,PWR,C5123493
D3,1206,1,PC,C5123493
D4,1206,1,STAT,C965824
D5,1206,1,WORD,C965824
"D6, D7, D8",D_SOD-523,3,BAT54KFILM,C283259
D9,SOT-23,1,PESD1CAN,C15771
"J1, J2",Keystone-7774,2,Terminal,XXXXXX
J10,Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal,1,POWER,XXXXXX
J11,GCT-USB-C-USB4110-GF-A,1,USB_C_Receptacle_USB2.0_14P,C5143397
J3,PinHeader_1x15_P2.54mm_Horizontal,1,NX CONTROL & UART,XXXXXX
J4,Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal,1,15V,XXXXXX
"J5, J6",PinSocket_1x15_P2.54mm_Vertical,2,NX CONTROL & UART,XXXXXX
J7,Molex-PicoLatch-5040500491,1,USB1,C177235
J8,PinHeader_1x05_P2.54mm_Horizontal,1,SWD,XXXXXX
J9,Molex-70555-0001,1,CAN1,XXXXXX
L1,Koher-MDA1050,1,2.2uH-19A-5.1mohm-20%,C2847559
L2,KOHER-MDA4020-2R2M,1,2.2uH-41mOhm-20%,C2847469
L3,0805,1,HZ0805E601R-10,C2441364
"LP1, LP2, LP3, LP4",Bivar-SLP3-150-100-F,4,Light Pipe,XXXXXX
"Q1, Q6, Q8, Q9",TI-SON5x6,4,CSD19534Q5A,C114200
"Q2, Q7",SOT-23,2,SI2301CDS-T1-GE3,C10487
"Q3, Q4",TI-SON5x6,2,CSD17578Q5A,C2871447
Q5,SOT-23,1,SS8050,C2150
"R1, R2",0603,2,1K-1%-0603,C22548
"R10, R13, R18, R22",0603,4,0R-1%-0603,C100044
"R11, R15, R4",0603,3,13K-1%-0603,C137796
"R12, R19",0603,2,93.1k-1%-0603,C228101
R14,2512,1,10mOhm-3W-1%-2512,C723413
R16,0603,1,205K-1%-0603,C22949
"R17, R23",0603,2,2K-1%-0603,C105576
R20,0603,1,10R0-1%-0603,C109318
R21,0603,1,249K-1%-0603,C706146
"R24, R25",0603,2,5.1k-1%-0603,C105580
R3,0603,1,357K-1%-0603,C137697
R5,0603,1,20K-1%-0603,C105575
R6,0603,1,5.9k-1%-0603,C23071
"R7, R8",0603,2,100R-1%-0603,C105588
R9,0603,1,1M-1%-0603,C105578
SW1,SW_TL1105VF100Q_EWI,1,RESET,XXXXXX
SW2,SW_TL1105VF100Q_EWI,1,RECOVERY,XXXXXX
"U1, U7",SOT-23-6,2,LM74700QDBVRQ1,C2941042
U2,SOT-23-5,1,TPS613222ADBV,C2071163
U3,LQFP-48_7x7mm_P0.5mm,1,STM32G431CBTx,C529355
U4,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_ThermalVias,1,LM5176PWPR,C442493
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,ISO6721BDR,C5216430
U6,SSOP-28_5.3x10.2mm_P0.65mm,1,FT232RNL,C8690
U8,SO-8_3.9x4.9mm_P1.27mm,1,TJA1051T/3/1J,C38695
