"Item","QUANTITY","Reference","Value","MFG","MFG P/N","DIST","DIST P/N"
"1","59","A1,C25-C28,C30,C31,C33,C35,C37,D1-D16,R2-R9,R41-R48,R50,R53-R56,R59-R66,R68,R70,TP1,TP2","1000pF-50V-10%-0805,100k-1%-0805,10k-1%-0805,12.4k-1%-0805,20.0k-1%-0805,20k-1%-0805,4.7uF-25V-10%-0805,68pF-50V-5%-0805,B0,B1,B10,B11,B12,B13,B14,B15,B2,B3,B4,B5,B6,B7,B8,B9,CAN_RX,CAN_TX,RaspberryPi_Pico2","","","",""
"2","1","C34","0.22uF-50V-10%-0805","KEMET","C0805C224K5RACTU","Digikey","399-C0805C224K5RACTUCT-ND"
"3","1","C40","10uF-10%-50V-1206","Samsung Electro-Mechanics","CL31A106KBHNNNE","Digikey","1276-2876-1-ND"
"4","1","C41","47uF-10%-16V-1206","Samsung Electro-Mechanics","CL32A476KOJNNNE","Digikey","1276-3376-2-ND"
"5","29","C1-C24,C29,C32,C36,C38,C39","0.1uF-25V-10%-0805","YAGEO","311-1141-1-ND","Digikey","CC0805KRX7R8BB104"
"6","4","D17,D21,D22,D26","S1B","onsemi","S1B","Digikey","S1BFSCT-ND"
"7","3","D18-D20","5.6V","onsemi","MMBZ5232BLT1G","Digikey","MMBZ5232BLT1GOSCT-ND"
"8","1","J24","ID","Molex","70555-0038","Mouser","538-70555-0038"
"9","20","J1-J19,J22","B0,B1,B10,B11,B12,B13,B14,B15,B2,B3,B4,B5,B6,B7,B8,B9,BATT,CAN,DC_IN","Molex","70555-0036","Digikey","WM4175-ND"
"10","2","J20,J21","XY0-R,XY1-L","Molex","530470610","Digikey","WM1735-ND"
"11","1","L3","5.6 uH-20%-3.4A","Delta Electronics/Cynec","VCHA042A-5R6MS6","Digikey","2037-VCHA042A-5R6MS6CT-ND"
"12","2","L1,L2","10uH-10%-500mA-0805","TDK","MLZ2012N100LT000","Digikey","445-6762-1-ND"
"13","2","Q1,Q3","BSS123","onsemi","BSS123","Digikey","BSS123NCT-ND"
"14","39","R1,R10-R40,R49,R51,R52,R57,R58,R67,R69","1.50k-1%-0805,49R9-1%-0805","YAGEO","RC0805FR-071K5L","Digikey","311-1.50KCRCT-ND"
"15","1","U3","MCP2518FDT-H/SL","Microchip","MCP2518FDT-H/SL","Digikey","MCP2518FDT-H/SLCT-ND"
"16","1","U4","MCP2558FD","Microchip","MCP2558FD-H/SN","Digikey","MCP2558FD-H/SN-ND"
"17","1","U5","4.0 MHz","Würth Elektronik","831018041","Digikey","1923-831018041CT-ND"
"18","1","U6","SN74LVC1G3157DBVR","Texas Instruments","SN74LVC1G3157DBVR","Digikey","296-14908-1-ND"
"19","1","U7","ITS41k0S-ME-N","Infineon","ITS41K0SMENHUMA1","Digikey","ITS41K0SMENHUMA1CT-ND"
"20","1","U8","TLV77033DDC","Texas Instruments","TLV70033DDCR","Digikey","296-27937-1-ND"
"21","1","U9","TPS54202DDC","Texas Instruments","TPS54202DDCT","Digikey","296-44151-1-ND"
"22","2","U1,U2","SN74HC165DR","Texas Instruments","SN74HC165DR","Digikey","296-8250-1-ND"
