### Footprint positions - created on 2026-01-20T22:12:35-0800 ###
### Printed by KiCad version 9.0.7-9.0.7~ubuntu24.04.1
## Unit = inches, Angle = deg.
## Side : bottom
# Ref     Val                 Package                                           PosX       PosY       Rot  Side
C9        0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.7400    -6.0300  180.0000  bottom
C10       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.7400    -6.2700  180.0000  bottom
C11       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.7400    -6.5900  180.0000  bottom
C12       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.7050    -6.7274   90.0000  bottom
C13       4.7uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.6800    -3.3850  180.0000  bottom
C14       4.7uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.6800    -3.4650    0.0000  bottom
C15       4.7uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.6800    -3.5450    0.0000  bottom
C16       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.6800    -3.6250    0.0000  bottom
C17       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.6800    -5.2112   90.0000  bottom
C18       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.6423    -4.4350   90.0000  bottom
C19       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.6000    -5.2112   90.0000  bottom
C20       1000pF-50V-5%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.5928    -3.8650    0.0000  bottom
C21       1000pF-50V-5%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.5930    -4.1630    0.0000  bottom
C22       10uF-10%-50V-1206   C_1206_3216Metric_Pad1.33x1.80mm_HandSolder     8.4920    -5.4970  180.0000  bottom
C23       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.4000    -5.3342  180.0000  bottom
C24       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.2450    -6.7274   90.0000  bottom
C25       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.1750    -3.8250  180.0000  bottom
C26       68pF-50V-5%-0805    C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.0520    -5.4980  -90.0000  bottom
C27       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     7.9450    -6.7274   90.0000  bottom
C28       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     7.9210    -4.6520    0.0000  bottom
C29       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     7.7750    -5.5800  180.0000  bottom
C30       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     7.6450    -6.7274   90.0000  bottom
C31       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     7.4000    -3.3600    0.0000  bottom
C32       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     7.4000    -3.5200    0.0000  bottom
C33       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     7.3450    -6.7274   90.0000  bottom
C34       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     7.3200    -4.5500    0.0000  bottom
C35       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     7.3200    -4.8500    0.0000  bottom
C36       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     7.3200    -5.1500    0.0000  bottom
C37       0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     7.3200    -5.4500    0.0000  bottom
