### Footprint positions - created on 2025-12-27T11:39:36-0800 ###
### Printed by KiCad version 9.0.6-9.0.6~ubuntu24.04.1
## Unit = inches, Angle = deg.
## Side : top
# Ref     Val                  Package                                                PosX       PosY       Rot  Side
A101      RaspberryPi_Pico2    RaspberryPi_Pico_Common_Unspecified                  8.0250    -3.7750    0.0000  top
C101      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          9.2368    -3.3837    0.0000  top
C102      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder         11.8004    -4.9654    0.0000  top
C103      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder         11.8004    -5.0839    0.0000  top
C104      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder         11.8004    -5.2024    0.0000  top
C105      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder         11.8004    -5.3209    0.0000  top
C201      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.1917    -6.7899    0.0000  top
C202      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.1917    -6.9084    0.0000  top
C203      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.1917    -7.0269    0.0000  top
C204      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.1917    -7.1454    0.0000  top
C205      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.1917    -7.2639    0.0000  top
C206      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.1917    -7.3824    0.0000  top
C207      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.1917    -7.5009    0.0000  top
C208      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.3811    -6.7899    0.0000  top
C209      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.3811    -6.9084    0.0000  top
C210      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.3811    -7.0269    0.0000  top
C211      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.3811    -7.1454    0.0000  top
C212      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.3811    -7.2639    0.0000  top
C213      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.3811    -7.3824    0.0000  top
C214      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.3811    -7.5009    0.0000  top
C215      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.5705    -6.7899    0.0000  top
C216      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.5705    -6.9084    0.0000  top
C217      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.5705    -7.0269    0.0000  top
C218      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          4.5705    -7.1454    0.0000  top
C301      4.7uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          9.9515    -2.8880    0.0000  top
C302      1000pF-50V-5%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          9.9515    -3.0065    0.0000  top
C303      1000pF-50V-5%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          9.9515    -3.1250    0.0000  top
C304      1000pF-50V-5%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          9.9515    -3.2435    0.0000  top
C305      1000pF-50V-5%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          9.9515    -3.3620    0.0000  top
C306      4.7uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder          9.9515    -3.4805    0.0000  top
C307      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder         10.1408    -2.8880    0.0000  top
C308      0.1uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder         10.1408    -3.0065    0.0000  top
C309      4.7uF-25V-10%-0805   C_0805_2012Metric_Pad1.18x1.45mm_HandSolder         10.1408    -3.1250    0.0000  top
