"Item","QUANTITY","Reference","Value","MFG","MFG P/N","DIST","DIST P/N"
"1","1","A1","RaspberryPi_Pico2","Raspberry Pi","SC1631","Digikey","2648-SC1631CT-ND"
"2","5","C1-C5","0.1uF-25V-10%-0805","YAGEO","311-1141-1-ND","Digikey","CC0805KRX7R8BB104"
"3","1","J1","Expansion","Sullins Connector Solutions","PRPC013DAAN-RC","Digikey","S2011EC-13-ND"
"4","1","J6","3 Pos Header","Samtec","TSW-103-07-F-S","Digkey","SAM8995-ND"
"5","2","J2,J3","CAN","Molex","0705550036","Digikey","WM4175-ND"
"6","2","J4,J5","20 Pos Header","Samtec","TSW-120-14-T-S","Digkey","SAM1059-20-ND"
"7","1","R1","1.50k-1%-0805","YAGEO","RC0805FR-071K5L","Digikey","311-1.50KCRCT-ND"
"8","1","U1","MCP2558FD","Microchip","MCP2558FD-H/SN","Digikey","MCP2558FD-H/SN-ND"
"9","1","U2","4.0 MHz","ECS Inc.","ECS-5032MV-40-CN-TR","Digikey","XC3114CT-ND"
"10","1","U3","MCP2518FDT-H/SL","Microchip","MCP2518FDT-H/SL","Digikey","MCP2518FDT-H/SLCT-ND"
