### Footprint positions - created on 2025-06-08T16:21:47-0700 ###
### Printed by KiCad version 9.0.2-9.0.2-0~ubuntu24.04.1
## Unit = inches, Angle = deg.
## Side : top
# Ref     Val                 Package                                           PosX       PosY       Rot  Side
A1        RaspberryPi_Pico2   RaspberryPi_Pico_Common_Unspecified             7.6138    -5.1012    0.0000  top
C1        0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.2755    -5.1059    0.0000  top
C2        0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.8500    -5.2450  -90.0000  top
C3        0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.4030    -5.2690   90.0000  top
C4        0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.6900    -5.4870  180.0000  top
C5        0.1uF-25V-10%-0805  C_0805_2012Metric_Pad1.18x1.45mm_HandSolder     8.5710    -5.6470   90.0000  top
D1        PESD1CAN            SOT-23                                          8.6856    -4.9630  -90.0000  top
J1        CAN1                70555-0001                                      8.3201    -4.5528   90.0000  top
J2        CAN1                70555-0001                                      8.7008    -4.5509   90.0000  top
J3        Expansion           PinHeader_2x13_P2.54mm_Vertical                 6.7400    -4.4950    0.0000  top
R1        1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.2755    -5.0272  180.0000  top
U1        4.0_MHz             JLC-OSC-SMD3225-4P                              8.2780    -5.2820  180.0000  top
U2        MCP2558FD           SO-8_3.9x4.9mm_P1.27mm                          8.6889    -5.2634   90.0000  top
U3        MCP2518FDT-H/SL     SO-14_3.9x8.65mm_P1.27mm                        8.3345    -5.5783  -90.0000  top
## End
